Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
170000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,79.0,False,True,False,2.0,0.0,79.0,1.0,Norte
135000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,65.0,False,True,False,1.0,0.0,65.0,1.0,Norte
170000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,79.0,False,True,False,2.0,0.0,79.0,2.0,Norte
170000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,79.0,False,True,False,2.0,0.0,79.0,0.0,Norte
185000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,105.0,False,True,False,2.0,0.0,105.0,2.0,Norte
140000.0,Aveiro,Santa Joana,House,F,1.0,1968.0,167.0,True,False,False,5.0,1.0,167.0,2.0,Centro
188000.0,Aveiro,Glória e Vera Cruz,Apartment,B,1.0,2022.0,29.0,False,True,False,0.0,0.0,29.0,1.0,Centro
230000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,F,1.0,2024.0,100.0,False,False,False,3.0,2.0,100.0,2.0,Centro
229000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",Apartment,D,1.0,1997.0,83.0,False,True,False,2.0,1.0,83.0,1.0,Centro
399000.0,Aveiro,Recardães e Espinhel,House,D,0.0,1996.0,225.0,True,False,True,4.0,1.0,225.0,3.0,Centro
435000.0,Aveiro,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Apartment,B,0.0,2011.0,234.0,True,True,True,4.0,1.0,173.0,4.0,Norte
179000.0,Aveiro,Gafanha da Boa Hora,Apartment,E,0.0,1992.0,95.0,True,False,False,2.0,1.0,95.0,1.0,Centro
230000.0,Aveiro,Pessegueiro do Vouga,House,E,0.0,1976.0,152.0,True,False,False,3.0,2.0,211.0,4.0,Centro
169000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,E,0.0,1984.0,102.0,False,False,False,3.0,2.0,90.0,2.0,Centro
150000.0,Aveiro,Oiã,Apartment,D,1.0,1994.0,112.0,False,False,False,3.0,0.0,110.0,2.0,Centro
207000.0,Aveiro,Oiã,Apartment,B,1.0,2002.0,140.0,True,False,True,3.0,1.0,119.0,2.0,Centro
75000.0,Aveiro,"Mealhada, Ventosa do Bairro e Antes",House,F,1.0,1951.0,135.0,False,False,False,2.0,0.0,135.0,0.0,Centro
210000.0,Aveiro,Oiã,Apartment,C,0.0,2002.0,202.0,True,False,False,3.0,1.0,175.0,2.0,Centro
185000.0,Aveiro,Arcos e Mogofores,Apartment,C,0.0,1993.0,179.0,False,True,False,3.0,1.0,148.0,2.0,Centro
185000.0,Aveiro,Carregosa,Apartment,D,0.0,1999.0,142.0,True,True,False,3.0,0.0,142.0,3.0,Centro
430000.0,Aveiro,São Pedro de Castelões,House,B,1.0,2023.0,196.0,False,False,False,4.0,0.0,200.0,3.0,Centro
